,Title,Price,Location,Bed
824,ONE MONTH FREE RENT select units c,1472, santa rosa,"1
600ft2"
825,ONE MONTH FREE RENT! select units. d,1472, santa rosa,"1
600ft2"
826,ONE MONTH FREE RENT on Select Units a,1472, santa rosa,"1
600ft2"
827,ONE MONTH FREE RENT on Select Units a,1472, santa rosa,"1
600ft2"
828,ONE MONTH FREE RENT! on select units e,1472, santa rosa,"1
600ft2"
829,ONE MONTH FREE RENT! on Select Units g,1472, santa rosa,"1
600ft2"
830,ONE MONTH FREE RENT! select units h,1472, santa rosa,"1
600ft2"
831,ONE MONTH FREE RENT on Select Units f,1472, santa rosa,"1
600ft2"
832,ONE MONTH FREE RENT! select units b,1472, santa rosa,"1
600ft2"
833,Open House! Saturday 3/2 12-2pm,1475, santa rosa,"1
725ft2"
834,Hurry this one will be gone Pre-Lease Now,1475, 56,627ft2
835,Call Now!! Vintage Studio Apt!!,1475, san jose downtown,450ft2
836,$1475 / 1br - 600ft1 - 1 bedroom 1 bath apartment available in beautif,1475, sonoma,"1
600ft2"
837,"Property to rent for as per your convenience...! ""Raintree Apartment""",1475, 1058 S. WINCHESTER BOULEVARD,1
838,Spacious and private Master Suite with kitchenette & full bath,1475, rohnert pk / cotati,1
839,"Great Location, Easy access to Freeway",1475, san jose south,1
840,Spacious Glenview Studio,1475, oakland piedmont / montclair,600ft2
841,"""""""Raintree Apartment Homes""""""",1475, 1058 S. WINCHESTER BOULEVARD,1
842,"Fully equipped kitchens, Walk-in closets, Easy freeway access",1475, san jose south,1
843,"Wonderful Location, close to life's conveniences!",1475, san jose south,1
844,Sweet 1/1 West Petaluma Apartment - 19 Harris Street,1475, petaluma,1
845,"Easy Freeway access, Great Location",1475, san jose south,"1
521ft2"
846,THIS WILL NOT LAST~PRE-LEASE NOW,1475, 56,"1
627ft2"
847,Large single story 2 bdrm-showing now,1475, fairfield / vacaville,"2
900ft2"
848,"Naturally Well-Lit ""RAINTREE APARTMENT""",1475, 1058 S. WINCHESTER BOULEVARD,1
849,"Wonderful Location, close to life's conveniences!",1475, san jose south,1
850,"PRIVATE STUDIO FOR RENT $ 1,475.00",1475, berkeley,1
851,"Beautiful Units with Great Amenities ""RAINTREE APARTMENTS""",1475, 1058 S. WINCHESTER BOULEVARD,1
852,"One bedroom, Great Location, Awesome Value!",1475, san jose south,"1
521ft2"
853,"Great Location, Awesome Value!",1475, san jose south,"1
521ft2"
854,Beautiful 1 Bedroom Apartment Home!,1478, fairfield / vacaville,"1
475ft2"
855,Stop Looking,1478, fairfield / vacaville,"1
475ft2"
856,Welcome Home,1478, fairfield / vacaville,"1
475ft2"
857,Two Sparkling Pools,1478, fairfield / vacaville,"1
475ft2"
858,Phenomenal One Bedroom Apartment Homes,1478, fairfield / vacaville,"1
619ft2"
859,"A True Gem with Lush, Mature Landscaping",1478, fairfield / vacaville,"1
475ft2"
860,Ask About Our Non-Smoking Apartment Homes!,1478, fairfield / vacaville,"1
475ft2"
861,Pet Friendly,1478, fairfield / vacaville,"1
475ft2"
862,Lovely Home,1478, fairfield / vacaville,"1
475ft2"
863,Vacaville's Best Kept Secret!,1478, fairfield / vacaville,"1
475ft2"
864,Two Sparkling Pools,1478, fairfield / vacaville,"1
475ft2"
865,Beautiful 1 Bedroom Apartment Home!,1478, fairfield / vacaville,"1
475ft2"
866,Newly Renovated 1BR/1BA Apt. in a Community with a Year-Round Hot Tub,1478, pittsburg / antioch,"1
612ft2"
867,1BR/1BA Home in a Residential Area with 2 Heated Swimming Pools!,1479, pittsburg / antioch,"1
488ft2"
868,STUDIO avail -INCL Pg&e - why wait?,1490, east palo alto,NA
869,San Jose Apartment in Downtown Available Immediately,1490, san jose downtown,NA
870,**Happy Living** Modern Bedroom w/ Private Bath,1490, ingleside / SFSU / CCSF,"1
165ft2"
871,Sunny Garden Cottage Room for Rent $1490,1490, sunnyvale,"1
210ft2"
872,1bed/1bath Waiting List ONLY,1491,NA,"1
588ft2"
873,Make Parkside Terrace your HOME. 1bed/1bath. WAITING LIST OPEN!!,1491, san jose east,"1
588ft2"
874,1bed/1bath Waiting List ONLY,1491,NA,"1
588ft2"
875,Make Parkside Terrace your HOME. 1bed/1bath. WAITING LIST OPEN!!,1491, san jose east,"1
588ft2"
876,1BR/1BA Home in a Residential Area with 2 Heated Swimming Pools!,1493, pittsburg / antioch,"1
488ft2"
877,Great location! peaceful community,1495, fairfield / vacaville,"1
800ft2"
878,Advent- Amazing room directly across from UC Berkeley!,1495, berkeley north / hills,"1
230ft2"
879,$400 Move in Bonus! Top Floor Studio AVL Now: CAL11,1495, concord / pleasant hill / martinez,NA
880,Cozy Studio AVL 3/1 - Walk to Todos Santos & Bart! CAL5,1495, concord / pleasant hill / martinez,NA
881,Pet Friendly Studio Concord: Cal5,1495, concord / pleasant hill / martinez,NA
882,Newly Renovated 3 Bedroom 1 Bath Upper Floor Close to Vallejo Ferry,1495, vallejo / benicia,"3
1000ft2"
883,Castlewood in Concord *$500 Off 1st Month!* 1 Bed/1 Bath Available NOW,1495, concord / pleasant hill / martinez,"1
700ft2"
884,Well lit studio close to Todos Santos & BART Cal5,1495, concord / pleasant hill / martinez,NA
885,Studio in Historic Pet-friendly Building! 1511 Jackson St #D07,1495, oakland lake merritt / grand,NA
886,Cozy Studio AVL 3/1 - Walk to Todos Santos & Bart! CAL5,1495, concord / pleasant hill / martinez,NA
887,STUNNING GEM IN UNIQUE LOCATION RIGHT IN THE HEART OF ANTIOCH,1495, pittsburg / antioch,"1
625ft2"
888,Top Floor Studio 5 Min from Todos Santos! CAL11,1495, concord / pleasant hill / martinez,NA
889,Steps to the Beach - Remodeled Studio - Available Now,1495, aptos,NA
890,Cozy Studio AVL 3/1 - Walk to Todos Santos & Bart! CAL5,1495, concord / pleasant hill / martinez,NA
891,Cozy Studio AVL 3/1 - Walk to Todos Santos & Bart! CAL5,1495, concord / pleasant hill / martinez,NA
892,San Benito Apartments - MOVE IN SPECIAL,1495, hollister,"1
576ft2"
893,SUNNYSIDE 1BD/1BATH,1495, ingleside / SFSU / CCSF,1
894,"Santa Cruz/Downtown area, Downstairs 1bd. 1ba. apt.",1495, santa cruz,1
895,Lovely Studio Apartment,1495, santa rosa,"1
392ft2"
896,Room for rent in home with family! All utilities included!,1495, sunnyvale,1
897,Live Among the Redwoods,1495, santa rosa,"1
600ft2"
898,Country Living in The City!,1495, santa rosa,"1
600ft2"
899,One Bedroom Available for Rent in Oakland!,1495, oakland north / temescal,1
900,Updated Studio w/Shared Floor Bathroom | Pet Friendly,1495, lower nob hill,NA
901,Studio in Historic Pet-friendly Building! 1511 Jackson St #D07,1495, oakland lake merritt / grand,NA
902,"Room for rent, great location! All the extras!",1495, sunnyvale,1
903,Top Floor Studio; 5 min to todos santos and BART: CAL11,1495, concord / pleasant hill / martinez,320ft2
904,Orinda Studio with Private Entrance -,1495, lafayette / orinda / moraga,460ft2
905,$1495  Santa Rosa LARKFIELD AREA  WI Lg 1 br country setting,1495, santa rosa,"1
610ft2"
906,$1495  Santa Rosa LARKFIELD AREA  WI Lg 1 br country setting,1495, santa rosa,"1
610ft2"
907,Steps to the Beach - Remodeled Studio - Available Now,1495, aptos,NA
908,Top Floor Studio 5 Min from Todos Santos! CAL11,1495, concord / pleasant hill / martinez,NA
909,"1572 Lincoln Avenue, #C - Charming Studio",1495, alameda,NA
910,Available Now - Remodeled Studio - Close to Beach,1495, aptos,NA
911,Charming Studio Apt. in Martinez Avail 3/30,1495, concord / pleasant hill / martinez,380ft2
912,1912 Pacheco Blvd - Cute 2nd Floor Martinez 1 Bed/1 Bath Coming Soon!,1495, concord / pleasant hill / martinez,1
913,Updated Studio w/Shared Floor Bathroom | Pet Friendly,1495, lower nob hill,NA
914,"Close to Mission Bay/China Basin + Financial District, Quiet , Private",1495, bayview,1
915,Perfect Studio for DVC Students! $400 Bonus @ Move In: CAL11,1495, concord / pleasant hill / martinez,NA
916,"COZY STUDIO in CONVENIENT LOCATION, SHARED BATROOM",1495, lower nob hill,NA
917,Near Everywhere You Want to Be-Oakland Studio,1495, oakland downtown,NA
918,Near Everywhere You Want to Be-Oakland Studio,1495, oakland hills / mills,NA
919,Near Everywhere You Want to Be-Oakland Studio,1495, oakland lake merritt / grand,NA
920,Near Everywhere You Want to Be-Oakland Studio,1495, oakland west,NA
921,Near Everywhere You Want to Be-Oakland Studio,1495, berkeley,NA
922,Near Everywhere You Want to Be-Oakland Studio,1495, emeryville,NA
923,Near Everywhere You Want to Be-Oakland Studio,1495, san leandro,NA
924,1 bed/1ba w/ open floor plan & private patio off bedroom,1497, vallejo / benicia,"1
594ft2"
925,1 Bedroom in 3 BD / 1.5 Flex,1499, inner sunset / UCSF,NA
926,"$1,499/  1 recamara - 750ft2 - CONCORD;  alberca; Cercas de BART",1499, concord / pleasant hill / martinez,"1
750ft2"
927,1 Bdrm Cottage- downtown Lafayette,1500, lafayette / orinda / moraga,"1
400ft2"
928,In law unit for Rent available Now,1500, san jose south,NA
929,"$1,500 - $1,600 Large Efficiency Studios Available",1500, tenderloin,NA
930,PRIME STUDIO 6 BLOCKS FROM UC CAMPUS!,1500, berkeley,225ft2
931,1 block from north side of UCB - Room #8,1500, berkeley,"1
145ft2"
932,1 block from north side of UCB - Room #8,1500, berkeley,"1
145ft2"
933,1 block from north side of UCB - Room #8,1500, berkeley,"1
145ft2"
934,1 block from north side of UCB - Room #8,1500, berkeley,"1
145ft2"
935,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
936,1 block from north side of UCB - Room #8,1500, berkeley,"1
145ft2"
937,1920's Sunny Studio with eat-in kitchen & rooftop view,1500, oakland west,NA
938,Nice and Bright 1 Bedroom/1 Bath Unit for Rent,1500, ingleside / SFSU / CCSF,"1
200ft2"
939,New 1-BrBa in a Safe and Quiet Community with Miles of Trails.,1500, san jose downtown,1
940,$1500/1br - One Bed-Room Studio (Milpitas) With A Private Entrance!,1500, milpitas,"1
500ft2"
941,Eichler House Furnished Private Room - nice location,1500, sunnyvale,"1
1000ft2"
942,Aptos studio close to Seascape Golf and beaches,1500, aptos,NA
943,北聖荷西傢俱套房出租,1500, san jose north,"1
250ft2"
944,北聖荷西傢俱套房出租,1500, san jose north,"1
250ft2"
945,OAKLAND FRUITVALE NEW STUDIO APT,1500, oakland east,NA
946,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
947,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
948,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
949,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
950,1 block from north side of UCB - Room #8,1500, berkeley,"1
175ft2"
951,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
952,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
953,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
954,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
955,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
956,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
957,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
958,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
959,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
960,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
961,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
962,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
963,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
964,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
965,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
966,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
967,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
968,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
969,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
970,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
971,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
972,1 block from north side of UCB - Room #10,1500, berkeley,"1
135ft2"
973,"Month-to-month contracts, furnished rooms now available.",1500, financial district,1
974,1 Bedroom Furnished Unit for Rent,1500, russian river,1
975,"Large Sunny Apt in Concord near Pleasant Hill, Walnut Creed, San Ramon",1500, concord / pleasant hill / martinez,1
976,Newly remodeled STUDIO for rent $1500,1500, san jose north,NA
977,Furnished Studio/Master Bedroom+Private Kitchen Av MAY (North UCB),1500, berkeley north / hills,1
978,Remodeled Studio on Addison Street,1500, berkeley,NA
979,Room for rent,1500, san bruno,NA
980,Rural one bedroom cottage,1500, santa rosa,1000ft2
981,Remodled Studio Near SJSU Available Soon !,1500, San Jose,NA
982,Private single family home Main Level 2 bedrooms / 1 bathroom,1500," 2720 41st Ave San Francisco, CA 94116",NA
983,Upstairs Bedroom Rental in The Upper Napa Valley (Fully-Furnished),1500, napa county,"1
800ft2"
984,FOR RENT 1 卧室 1 浴室 by Balboa Bart Station/CCSF,1500, ingleside / SFSU / CCSF,1
985,South of Market (SOMA) Old Charm Studio and 1 Bedroom Units,1500, SOMA / south beach,NA
986,1 Bedroom & 1 Bath,1500," hercules, pinole, san pablo, el sob","1
850ft2"
987,1 BR/1 BA Available 4/1 in 2 BR/2 BA Condo,1500, walnut creek,1
988,Looking for a roommate to join our home!,1500, richmond / seacliff,3
989,Big Beautiful room in the Mission,1500, mission district,NA
990,"Furnished, Sonoma Hillside Retreat",1500, sonoma,1
991,2BD/1BA- $1500 - All Utilities Paid,1500, vallejo / benicia,NA
992,**MUST SEE** NEW..VIEWS..MODERN BEDROOMS..FREE WiFi & HOUSE CLEANING,1500, ingleside / SFSU / CCSF,1
993,400 Mount Hood Ct rent $1500.00,1500, Modesto,3
994,Studio Units with Private Entrance (2 available),1500, excelsior / outer mission,"1
250ft2"
995,Spacious room for rent in Hayes Valley,1500, hayes valley,1
996,1bedroom 1 bath,1500, pittsburg / antioch,1
997,Larkin6&Post*hardwood*Remodeled Studio w/ Full Kitchen & Bath.,1500, lower nob hill,250ft2
998,Larkin22&Post St*Studio*hardwood flr.,1500, lower nob hill,280ft2
999,Private Downtown Studio Coming Soon! Minutes to SJSU!,1500, San Jose,500ft2
1000,Beautiful 1Br/1Ba Granny with Washer/Dryer in Unit,1500, santa rosa,"1
576ft2"
1001,Granny unit (apartment) to rent,1500, dublin,"1
440ft2"
1002,RV Space for Rent,1500, san jose south,NA
1003,Light and Bright Cottage,1500, santa rosa,1
1004,"3 beds 3 baths 1,422 sqft home available (Fremont, CA)",1500,NA,NA
1005,Furnished Cabin Long Term Rental,1500, Isleton,"1
400ft2"
1006,Sunnyvale 3b3b 一楼房间+室内独立,1500, sunnyvale,NA
1007,Studio: 1435 Stanton Street,1500, alameda,NA
1008,Guest Suite for rent $1500 with Kitchenette,1500, willow glen / cambrian,"1
400ft2"
1009,Small cottage close to downtown and SRJC,1500, santa rosa,1
1010,New 1-BRBa in a Safe and Quiet Community with Miles of Trails.,1500, san jose south,NA
1011,Redone 3 bdr 1 bth for rent,1500," 1006 G St Antioch, CA 94509","3
1100ft2"
1012,Private Room for rent,1500, sunnyvale,NA
1013,"Month-to-month contracts, furnished rooms now available",1500, financial district,1
1014,Furnished Cabin Long Term Rental,1500, Isleton,"1
400ft2"
1015,Furnished Cabin Long Term Rental,1500, Isleton,"1
400ft2"
1016,Beautiful Cottage in Great location Pleasant Hill,1500, concord / pleasant hill / martinez,475ft2
1017,Newly Sweet Remodeled Room - Free In house Washer Dryer,1500, ingleside / SFSU / CCSF,1
1018,summer sublet in the sunset,1500, sunset / parkside,1
1019,1 BD APT FOR ONE PERSON ON GATED COUNTRY PROPERTY,1500,NA,NA
1020,Studio for rent Westlake,1500, daly city,NA
1021,Studio Apartment in the heart of Downtown,1500, san jose downtown,NA
1022,"Pet Friendly, Master Suite, NO DEPOSIT",1500, san jose west,"1
1253ft2"
1023,master suite No security deposit & pet friendly,1500, san jose west,3
1024,Furnished Cabin Long Term Rental,1500, brentwood / oakley,"1
400ft2"
1025,3bed/2bath SFH in mission fremont,1500, fremont / union city / newark,"3
1200ft2"
1026,LOVELY 3 BED ROOM,1500," Fremont, CA",NA
1027,1 bedroom + 1 bath for rent - Private Entrance,1500, fremont / union city / newark,1
1028,SUBLEASE......,1500, walnut creek,1
1029,Clean and Quit One bedroom house near SF General,1500, potrero hill,"1
144ft2"
1030,Furnished Cabin Long Term Rental,1500, brentwood / oakley,"1
400ft2"
1031,"NAPA 1 BR, 1 BA $1500.00",1500, napa county,1
1032,Newly Sweet Remodeled Room - Free In house Washer Dryer,1500, ingleside / SFSU / CCSF,1
1033,1 bed 1 bath,1500, fairfield / vacaville,"1
750ft2"
1034,FOR RENT 1 卧室 1 浴室 by Balboa Bart Station/CCSF,1500, excelsior / outer mission,1
1035,"1 bedroom 1 bath apartment, spacious upstairs unit, walk-in closet",1500, san jose west,1
1036,Midtown Studio,1500, santa cruz,540ft2
1037,"Studio,  North Berkeley. Walk to UCB and North Berkeley BART",1500, berkeley north / hills,250ft2
1038,Small cottage and work shop,1500, albany / el cerrito,1
1039,Small cottage and work shop,1500, albany / el cerrito,1
1040,Remodeled unit conveniently near BART & MUNI in Outer Mission,1500, excelsior / outer mission,1
1041,"Month-to-month contracts, furnished rooms now available",1500, financial district,1
1042,Private 1b cottage in pleasure point,1500, santa cruz,"1
1000ft2"
1043,Furnished Cabin Long Term Rental,1500, brentwood / oakley,"1
400ft2"
1044,$1500 FURNISHED One Bedroom garden apartment with washer and dryer,1500, alameda,400ft2
1045,Cozy 1 Bedroom Apartment Located in the Castlemont District,1500, oakland east,1
1046,Cozy 1 Bedroom Apartment Located in the Castlemont District,1500, oakland east,1
1047,Welcome to West Wood Park two bed one bath home!,1500," San Francisco, CA",NA
1048,Cottage- downtown Lafayette,1500, lafayette / orinda / moraga,"1
400ft2"
1049,2BD 1BTH AVAILABLE ASAP FOR MOVE IN!,1500, pittsburg / antioch,2
1050,1 Bedroom Apartment in Bennett Valley,1500, santa rosa,1
1051,1 Bedroom,1500, bernal heights,"1
135ft2"
1052,3 bedroom 1 bath $1500,1500, fairfield / vacaville,3
1053,Studio,1500, san jose downtown,NA
1054,New 1-BrBa in a Safe and Quiet Community with Miles of Trails.,1500, san jose downtown,1
1055,2 bedroom duplex,1500, napa county,2
1056,"Woodsy in-law unit, El Cerrito hills",1500, albany / el cerrito,"1
350ft2"
1057,Berkeley Apartment,1500, berkeley,2
1058,1 Bedroom Available in SOMA $1500,1500,NA,1
1059,"Month-to-month contracts, furnished rooms now available",1500, financial district,1
1060,Entirely renovated-Nice & bright studio walk to public transportation,1500, excelsior / outer mission,250ft2
1061,Private Room & Bath for Rent Quaint Charming House,1500, walnut creek,1
1062,2BD/1BA- $1500 - All Utilities Paid,1500, vallejo / benicia,NA
1063,$1500 / 2br - 1BR/1BA w/ Parking Utilities Paid $1500/Mo.,1500, vallejo / benicia,NA
1064,Charming Cottage in Historical District,1500, santa clara,350ft2
1065,"CUTE COTTAGE FOR RENT IN MARCH, FURNISHED, UTILITIES INCLUDED.",1500, sebastopol,550ft2
1066,New 1-BrBa in a Safe and Quiet Community with Miles of Trails.,1500, san jose south,1
1067,Perfectly Private cottage very close to Apple!,1500,NA,"1
700ft2"
1068,I will send you a cash offer for your home !,1500, fairfield / vacaville,NA
1069,TRIPLEX SOON AVAILABLE NICE SAFE  AREA,1500, emeryville,1500ft2
1070,In-law unit for Rent,1500, daly city,1
1071,"Month-to-month contracts, furnished rooms now available",1500, financial district,1
1072,"Convenience, comfort, stylish. Newly remodeled cottage, Near downtown",1500, palo alto,"1
707ft2"
1073,SUBLEASE...,1500, fremont / union city / newark,1
1074,Ground level In Law on Half Acre in Berkeley Hills,1500, berkeley north / hills,"1
600ft2"
1075,SUBLEASE...,1500,NA,1
1076,In-law apartment with a view and private laundry!,1500, santa rosa,"1
600ft2"
1077,Charming detached studio in Danville,1500, danville / san ramon,NA
1078,"Cute Bungalow w/ Garage, yard, Covered Porch",1500, vallejo / benicia,"1
610ft2"
1079,No security deposit and pet friendly,1500, san jose west,3
1080,"1 BDRM, LIVING ROOM, KITCHEN, RESTROOM, ALL UTILITIES INCLUDED",1500, oakland north / temescal,NA
1081,"1 BDRM, LIVING ROOM, KITCHEN, RESTROOM, ALL UTILITIES INCLUDED",1500, emeryville,NA
1082,Furnished Cabin Long Term Rental,1500, Isleton,"1
400ft2"
1083,"Window Covering, Minutes from Mare Island, Dishwasher, Pool, Storage",1503, vallejo / benicia,"2
667ft2"
1084,"Close to Vallejo Ferry, Central Laundry Facilities, Vaulted Ceiling",1503, vallejo / benicia,"1
667ft2"
1085,Beautifully Updated Studio!,1505, fairfield / vacaville,475ft2
1086,"A True Gem with Lush, Mature Landscaping",1505, fairfield / vacaville,475ft2
1087,"Gate, High Speed Internet Ready, Window Coverings, Playground, Pool",1507, pittsburg / antioch,"2
728ft2"
1088,"Covered Parking, Cable Ready, Window Coverings, Courtesy Patrol, Pool",1507, pittsburg / antioch,"2
728ft2"
1089,"Large Closets, High Speed Internet Ready, Window Coverings, Disposal",1507, pittsburg / antioch,"2
728ft2"
1090,BLUE ROCK VILLAGE APARTMENTS,1518, vallejo / benicia,"1
643ft2"
1091,CALL FALIZ@BLUE ROCK~RENT NOW~WHAT IS A HOME WITHOUT PAW PRINTS!,1518, vallejo / benicia,"1
643ft2"
1092,Beautiful Studio steps to Boardwalk/Beach $100 off winter special,1525, santa cruz,230ft2
1093,Large One bedroom unit now available,1525, vallejo / benicia,"1
850ft2"
1094,"!,000 sft - EXTRA LARGE Garden Apt / Gated Complex / NO CHARGE WGS",1525, fairfield / vacaville,"2
1000ft2"
1095,Large Studio with Walk In Closet,1525, santa clara,400ft2
1096,"Carpet, Walk In Closets, Pet Friendly, Close to Ferry and Freeways",1525, vallejo / benicia,"1
730ft2"
1097,Welcome to Your New Home Here at Parc Station Apartment Homes!!,1525, santa rosa,1
1098,Two - Charming Junior One Bedrooms Available,1525, santa rosa,"1
480ft2"
1099,Make Parc Station Apartment Homes Your New Destination For Home!!,1525, santa rosa,"1
600ft2"
1100,Great Community at Amazing Location!!!,1525, santa rosa,1
1101,Lowest Prices in Town! Apply Today! Lock In The Price! Don't Miss It!,1525, santa rosa,1
1102,TWO STORY 2BD/1.5BA CONDO!,1525, fairfield / vacaville,2
1103,We Love Our Furry Friends Here At Parc Station!Apply Today,1525, santa rosa,1
1104,Amazing Location at an Even Better Rate! Don't Miss This!,1525, santa rosa,1
1105,Experience Life Here at Parc Station! Apply Today,1525, santa rosa,1
1106,"233 WESTWOOD AVE, VALLEJO",1525, 233 WESTWOOD,2
1107,Available in march 1x1 on Beautiful Beelard Dr,1525, fairfield / vacaville,"1
600ft2"
1108,"Beautiful 1x1,  Pet Friendly, Close to transportation and ferries.",1525, vallejo / benicia,"1
730ft2"
1109,Warm & Cozy. Great atmosphere. Perfect place to call home.,1525, santa rosa,"1
600ft2"
1110,"Dreaming of a New Place? No Need to Dream, Lease Today!",1525, santa rosa,"1
600ft2"
1111,"Modern Studio, Hardwood Floors, Dishwasher, Parking Available",1525, tenderloin,280ft2
1112,Can't Beat That Price! Apply Today at Parc Station.,1525, santa rosa,"1
600ft2"
1113,Updated Studio w/Shared Floor Bathroom | 1 Month FREE,1525, lower haight,NA
1114,Waste No Time! Parc Station is the place to live at a great price.,1525, santa rosa,"1
600ft2"
1115,Welcome Home to Parc Station!,1525, santa rosa,"1
600ft2"
1116,"Head-turning Style, Extraordinary Location at Parc Station.",1525, santa rosa,"1
600ft2"
1117,"Patio or Balcony, Spacious Living, Stunning View of Rolling Hills",1525, vallejo / benicia,"1
730ft2"
1118,New Home Waiting For you! Lease Today!,1525, santa rosa,"1
600ft2"
1119,"1BR/1BA Home Washer, Dryer and Fireplace in Unit!!",1529, pittsburg / antioch,"1
612ft2"
1120,Studio-18 Clement St(at 2nd Ave)Email to view,1530, inner richmond,1
1121,"Open Sat (3.2): Large Rooms in 2BR/2BA Condo w View, Pkg, Pool, Gym",1530, belmont,"2
180ft2"
1122,1BR/1BA Home with a FULL size washer and dryer in unit!!,1532, pittsburg / antioch,"1
488ft2"
1123,THIS NEWLY RENOVATED 1X1 APARTMENT HAS A GOURMET KITCHEN,1533, pittsburg / antioch,"1
612ft2"
1124,Lush Landscape,1538, fairfield / vacaville,475ft2
1125,Charming Pet Friendly Community,1538, fairfield / vacaville,"1
475ft2"
1126,Great Location,1538, fairfield / vacaville,"1
475ft2"
1127,Quaint Westside Duplex,1540, sonoma,1
1128,Sharp Second Floor Studio Available Now @ 42 S. 8th St #2,1540, san jose downtown,350ft2
1129,Parkway Gardens Condo,1540, fairfield / vacaville,"2
997ft2"
1130,THIS NEWLY RENOVATED 1X1 APARTMENT HAS A GOURMET KITCHEN,1546, pittsburg / antioch,"1
612ft2"
1131,Newly Renovated 1BR/1BA Apt. in a Community with a Year-Round Hot Tub,1548, pittsburg / antioch,"1
612ft2"
1132,1 BRM +Walk-in Closet+ 1 Bath +1 Full Locked Storage Condo Concord,1550, concord / pleasant hill / martinez,1
1133,1 BRM +Walk-in Closet+ 1 Bath +1 Full Locked Storage Condo Concord,1550, concord / pleasant hill / martinez,1
1134,1 Bedroom with Walk-in Closet 1 Bath 1Full Storage Condo ConcordSpecia,1550, concord / pleasant hill / martinez,1
1135,"Cozy, Clean furnished room ~20min to FIDI",1550, west portal / forest hill,NA
1136,SPACIOUS SUNNY 1bd available soon!! gm,1550, rohnert pk / cotati,"1
620ft2"
1137,Beautiful In law in San Rafael,1550, san rafael,350ft2
1138,$1550 N Santa Rosa LARKFIELD AREA   Lg 1 br WITH GARAGEcountry setting,1550, santa rosa,"1
610ft2"
1139,Quiet Garden Apartment for Rent,1550, santa rosa,"1
700ft2"
1140,Fully Renovated 1 Bedroom Garden Walk Up Napa Unit,1550, napa county,1
1141,1 BRM +Walk-in Closet+ 1 Bath +1 Full Locked Storage Condo Concord,1550, concord / pleasant hill / martinez,1
1142,$1550 1 Bedroom with Walk-in Closet 1 Bath 1Full Storage Condo Concord,1550, concord / pleasant hill / martinez,1
1143,"Upstairs 1 Bedroom, includes washer and dryer",1550, santa rosa,1
1144,Newly Renovated Downstairs Apartment,1550, sonoma,1
1145,Rustic Cottage,1550, sonoma,1
1146,Beautiful Renovated Condo In Faifield Ready to Lease,1550, fairfield / vacaville,1
1147,Lovely 2 room studio apartment,1550, aptos,"1
500ft2"
1148,1bedroom available!!! gm,1550, rohnert pk / cotati,"1
620ft2"
1149,Ready to Move-in 1 bedroom 1 bath 2 Parking Convenient Condo Concord,1550, concord / pleasant hill / martinez,"1
644ft2"
1150,1 BRM +Walk-in Closet+ 1 Bath +1 Full Locked Storage Condo Concord,1550, concord / pleasant hill / martinez,1
1151,1 BRM +Walk-in Closet+ 1 Bath +1 Full Locked Storage Condo Concord,1550, concord / pleasant hill / martinez,1
1152,1 BRM +Walk-in Closet+ 1 Bath +1 Full Locked Storage Condo Concord,1550, concord / pleasant hill / martinez,1
1153,Ready to Move-in 1 bedroom 1 bath 2 Parking Convenient Condo Concord,1550, concord / pleasant hill / martinez,"1
644ft2"
1154,Ready to Move-in 1 bedroom 1 bath 2 Parking Convenient Condo Concord,1550, concord / pleasant hill / martinez,"1
644ft2"
1155,bright 1-bedroom apartment in convenient area,1550, oakland rockridge / claremont,"1
650ft2"
1156,1 BR Near Downtown & RR Sq - Nearly New Everything!,1550, santa rosa,1
1157,"湾区Fremont ""新独立""户 招租",1550, fremont / union city / newark,NA
1158,1Bed1Bath Garden Level Inlaw,1550, sunset / parkside,"1
350ft2"
